CMP_CD,CMP_KOR,DART_CD
034730,SK,00181712
096770,SK이노베이션,00631518
010950,S-Oil,00138279
009830,한화솔루션,00162461
078930,GS,00500254
083650,비에이치아이,00409788
112610,씨에스윈드,00670340
100090,SK오션플랜트,00480367
006120,SK디스커버리,00131832
475150,SK이터닉스,01817081
322000,HD현대에너지솔루션,01199550
100840,SNT에너지,00648721
018000,유니슨,00144243
044490,태웅,00186799
128820,대성산업,00828789
005090,SGC에너지,00125150
024060,흥구석유,00167004
098070,한텍,00404941
457550,우진엔텍,01030503
046120,오르비텍,00297989
126720,수산인더스트리,00193328
389260,대명에너지,01150515
126880,제이엔케이글로벌,00442154
014530,극동유화,00105156
099220,SDN,00574611
100130,동국S&C,00415594
012700,리드코프,00117708
282720,금양그린파워,00872656
270520,앱튼,01228515
136150,원일티엔아이,00488244
101970,우양에이치씨,00450931
060900,에이전트AI,00367695
137950,제이씨케미칼,00664853
038870,에코바이오,00287812
043200,파루,00266934
000440,중앙에너비스,00149770
095910,에스에너지,00585538
065420,에스아이리소스,00120906
005490,POSCO홀딩스,00155319
051910,LG화학,00356361
010130,고려아연,00102858
086520,에코프로,00536541
003670,포스코퓨처엠,00155276
004020,현대제철,00145880
014680,한솔케미칼,00140955
011790,SKC,00139889
103140,풍산,00684714
011780,금호석유화학,00106368
010060,OCI홀딩스,00148896
011170,롯데케미칼,00165413
457190,이수스페셜티케미컬,01762569
005070,코스모신소재,00129989
005690,파미셀,00145163
120110,코오롱인더,00795135
001430,세아베스틸지주,00106669
285130,SK케미칼,01267170
004000,롯데정밀화학,00157681
281740,레이크머티리얼즈,01255652
295310,에이치브이엠,01011368
006650,대한유화,00260383
121600,나노신소재,00439965
033500,동성화인텍,00231105
298050,HS효성첨단소재,01316254
093370,후성,00595191
000210,DL,00109693
069260,TKG휴켐스,00426086
005420,코스모화학,00160302
009520,포스코엠텍,00128111
456040,OCI,01760738
460860,동국제강,01765265
008730,율촌화학,00145260
005810,풍산홀딩스,00155531
002960,한국쉘석유,00158149
101360,에코앤드림,00619640
251970,펌텍코리아,00761059
002710,TCC스틸,00117300
014830,유니드,00159786
